,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
28425,42000403,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,37:40,14.0,23.0,0.609,0.0,2.0,0.0,13.0,17.0,0.765,4.0,9.0,13.0,6.0,1.0,0.0,1.0,3.0,41.0,20.0
28440,42000402,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,40:08,15.0,22.0,0.682,1.0,5.0,0.2,11.0,18.0,0.611,4.0,8.0,12.0,4.0,1.0,3.0,3.0,3.0,42.0,3.0
28470,42000401,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,35:20,6.0,11.0,0.545,1.0,2.0,0.5,7.0,12.0,0.583,2.0,15.0,17.0,4.0,2.0,1.0,3.0,5.0,20.0,1.0
28589,42000304,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,24:04,7.0,10.0,0.7,0.0,1.0,0.0,0.0,3.0,0.0,1.0,7.0,8.0,3.0,0.0,1.0,2.0,2.0,14.0,-11.0
28648,42000303,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,40:49,13.0,21.0,0.619,1.0,2.0,0.5,6.0,13.0,0.462,2.0,9.0,11.0,4.0,2.0,1.0,4.0,4.0,33.0,6.0
28723,42000302,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,29:06,11.0,18.0,0.611,0.0,3.0,0.0,3.0,4.0,0.75,3.0,6.0,9.0,6.0,2.0,0.0,1.0,0.0,25.0,30.0
28783,42000301,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,41:01,14.0,25.0,0.56,0.0,2.0,0.0,6.0,8.0,0.75,4.0,8.0,12.0,9.0,2.0,2.0,3.0,4.0,34.0,4.0
28885,42000217,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,50:08,15.0,24.0,0.625,2.0,6.0,0.333,8.0,14.0,0.571,2.0,11.0,13.0,5.0,0.0,1.0,3.0,3.0,40.0,6.0
28989,42000216,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,41:10,12.0,20.0,0.6,0.0,0.0,0.0,6.0,10.0,0.6,5.0,12.0,17.0,3.0,0.0,0.0,3.0,2.0,30.0,22.0
29063,42000215,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,41:49,14.0,22.0,0.636,2.0,4.0,0.5,4.0,7.0,0.571,0.0,12.0,12.0,4.0,1.0,2.0,4.0,6.0,34.0,-8.0
29167,42000214,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,38:21,14.0,26.0,0.538,1.0,5.0,0.2,5.0,10.0,0.5,1.0,11.0,12.0,3.0,0.0,1.0,5.0,4.0,34.0,29.0
29315,42000213,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,42:60,14.0,31.0,0.452,1.0,8.0,0.125,4.0,9.0,0.444,2.0,12.0,14.0,2.0,0.0,0.0,5.0,0.0,33.0,5.0
29448,42000212,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,30:47,8.0,15.0,0.533,0.0,3.0,0.0,2.0,7.0,0.286,1.0,10.0,11.0,4.0,0.0,1.0,3.0,2.0,18.0,-22.0
29565,42000211,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,35:15,16.0,24.0,0.667,2.0,5.0,0.4,0.0,3.0,0.0,0.0,11.0,11.0,4.0,0.0,2.0,5.0,3.0,34.0,-7.0
30067,42000124,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,36:09,8.0,18.0,0.444,0.0,4.0,0.0,4.0,6.0,0.667,0.0,12.0,12.0,15.0,0.0,2.0,2.0,4.0,20.0,21.0
30275,42000123,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,32:35,6.0,12.0,0.5,0.0,2.0,0.0,5.0,7.0,0.714,2.0,15.0,17.0,5.0,1.0,0.0,3.0,3.0,17.0,4.0
30557,42000122,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,30:53,12.0,23.0,0.522,1.0,7.0,0.143,6.0,7.0,0.857,6.0,7.0,13.0,6.0,3.0,1.0,2.0,2.0,31.0,19.0
30735,42000121,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,45:27,10.0,27.0,0.37,0.0,3.0,0.0,6.0,13.0,0.462,6.0,12.0,18.0,5.0,3.0,0.0,5.0,4.0,26.0,2.0
31250,22001068,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,,DNP - Rest,,,,,,,,,,,,,,,,,,,,
31559,22001062,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,33:39,6.0,12.0,0.5,1.0,3.0,0.3329999999999999,2.0,6.0,0.3329999999999999,0.0,9.0,9.0,4.0,0.0,1.0,1.0,1.0,15.0,19.0
31805,22001048,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,35:04,14.0,18.0,0.778,1.0,1.0,1.0,11.0,16.0,0.688,3.0,12.0,15.0,6.0,1.0,0.0,1.0,1.0,40.0,1.0
32384,22001038,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,32:15,11.0,18.0,0.611,0.0,3.0,0.0,5.0,8.0,0.625,2.0,10.0,12.0,5.0,3.0,0.0,2.0,5.0,27.0,14.0
32555,22001029,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,29:20,11.0,16.0,0.688,0.0,2.0,0.0,6.0,7.0,0.857,0.0,3.0,3.0,4.0,0.0,0.0,0.0,4.0,28.0,-22.0
33153,22001006,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,28:34,8.0,11.0,0.727,0.0,3.0,0.0,1.0,2.0,0.5,0.0,11.0,11.0,7.0,2.0,1.0,1.0,3.0,17.0,5.0
33583,22000235,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,29:40,8.0,15.0,0.5329999999999999,0.0,2.0,0.0,7.0,8.0,0.875,2.0,7.0,9.0,8.0,0.0,2.0,6.0,6.0,23.0,-1.0
33798,22000985,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,37:26,11.0,30.0,0.367,4.0,12.0,0.3329999999999999,10.0,12.0,0.833,2.0,10.0,12.0,4.0,1.0,0.0,5.0,3.0,36.0,8.0
34148,22000967,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,35:41,21.0,36.0,0.583,4.0,8.0,0.5,3.0,6.0,0.5,1.0,7.0,8.0,4.0,1.0,3.0,1.0,2.0,49.0,5.0
34888,22000945,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,0:46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
35293,22000928,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,37:28,11.0,19.0,0.579,2.0,4.0,0.5,5.0,5.0,1.0,1.0,11.0,12.0,8.0,3.0,1.0,4.0,4.0,29.0,8.0
35836,22000913,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,35:21,11.0,17.0,0.647,1.0,3.0,0.3329999999999999,8.0,10.0,0.8,0.0,14.0,14.0,4.0,1.0,2.0,2.0,3.0,31.0,-10.0
35955,22000905,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,23:43,9.0,12.0,0.75,1.0,3.0,0.3329999999999999,5.0,10.0,0.5,1.0,13.0,14.0,7.0,2.0,1.0,4.0,2.0,24.0,18.0
36390,22000894,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,35:27,8.0,15.0,0.5329999999999999,1.0,2.0,0.5,10.0,18.0,0.556,2.0,14.0,16.0,6.0,2.0,1.0,3.0,2.0,27.0,25.0
